name,kind,provider,account,state,risk_score,last_seen
svc-billing-export,aws_iam_user,aws,aws:123456789012,active,62,
data-processor@project.iam.gserviceaccount.com,gcp_service_account,gcp,gcp:my-gcp-project,active,43,
prod/deployer,k8s_service_account,k8s,k8s:demo,active,40,
prod-copilot-agent,ai_agent,aws,aws:123456789012,active,39,
prod/secrets-sync,k8s_service_account,k8s,k8s:demo,active,35,
ci/legacy-ci,k8s_service_account,k8s,k8s:demo,active,26,
ci-deployer,gcp_service_account,gcp,gcp:my-gcp-project,active,20,
billing-admin,aws_iam_role,aws,aws:123456789012,active,2,
gke-secrets-sync@my-gcp-project.iam.gserviceaccount.com,gcp_service_account,gcp,gcp:my-gcp-project,active,2,
prod-deployer,aws_iam_role,aws,aws:123456789012,active,2,
prod/configmap-reader,k8s_service_account,k8s,k8s:demo,active,2,
svc-orphaned,aws_iam_user,aws,aws:987654321098,active,2,
